text,toxic,severe_toxic,obscene,threat,insult,identity_hate
спс уррсе,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
я посмотрю на ебало троля когда трон ломать буд,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
мде,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
фу блять,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
у нас фидер,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
а вы пузу,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
боже,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
и че лол пацан поиграть хочет,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
нахуй иди,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
сам прочитай что написал,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
у тебя мозг,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
слишеом,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
маленький,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
я уже 3 игру 4х5,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
играю,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
чмо,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
сука,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
ебаная,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
бляяя,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
ебучий спайс,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
я мать ебал доты,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
FU,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
трон смотрю несешь,0.090860985,0.015460708,0.05205449,0.008611427,0.052715786,0.019990839
ебать у нас миде р рак,0.090860985,0.015460708,0.05205449,0.008611427,0.052715786,0.019990839
ах ты крыса мелкая,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
Пизда тебе,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
.l.,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
че по баракам фиаско,0.09086101,0.015460693,0.05205449,0.008611419,0.052715786,0.01999083
